text,label
Pembayaran belum bisa pake QRIS pasti lahan korupsi... harga tiap aplikasi pembayaran pun beda mau jual aplikasi kan?. coment and rate star pun bisa di set guna user bot / ai...,APLIKASI
"Kenapa aplikasi tidak bisa guna pada saat luar negeri,, padahal ada slogan bisa guna mana saja dan kapan saja.",APLIKASI
Tidak ada respon sama sekali dari pihak PLN pengaduan dari kemarin sampai sekarang tidak ada tindak dari PLN malah pengaduan saya di batal buruk,LAYANAN
Saya mau pasang iconet pasti tidak pernah di proses sama pihak iconet ngestuck di verifikasi data,APLIKASI
Mahal banget pakai listrik udha rang tetep lebih mahal pas bayar dari bulan belum,LAYANAN
Belit belit anjing urus pasang listrik baru ama PLN kerja y pada ngentot,LAYANAN
Sampah,UMUM
"1 bulan lalu saya laku pengaduan di aplikasi lama sekali di tangan bsa smpek 1 minggu tidak ad tugas yang datang, telah saya telpon 123 bru gercep datang, lalu akhir januari kemarin jga saya laku pengaduan lagi di aplikasi tapi lama di tanganani, masa saya harus nelpon 123 lagi agar cepat di tangan berapa pulsa saya yang habis krna harus nelpon 123 terus? untuk apa ada aplikasi ini kalau tangan nya lambat dan musti nelpob 123 lagi! mohon di perbaiki lagi",LAYANAN
Aplikasi bobrok. kerja PLN nol besar putus sementara tanpa info apa dan cabut meter sekali lagi. tidak ada info apa gila. kelas perintah tapi kerja nol besar. moga tidak jadi di orang lain. sejak tanggal 30 januari hingga 1 februari belum di pasang kembali. seperti baru akan di pasang 10 hari depan sila bersenang-senang sulit hidup orang lain. saya buat 5 lapor pengaduan tapi hingga saat ini belum ada selesai,LAYANAN
Perbarui baru banyak bug-nya mana pembayaran di e-wallet hasil namun di aplikasi tiba-tiba di batal uang saya langsung hangus gabis retur,APLIKASI
"Jangan pakai aplikasi PLN mobile ini, aplikasi lambat, kerap masalah beli token gagal terus, tapi uang di potong, dan tidak kembali parah PLN no. lapor 3698770 sudah satu bulan uang tidak di kembali kapan di tindak lanjut nya? jangan mengada-ada ya PLN",APLIKASI
Lebih baik hapus fitur batal lapor dari pihak tugas karena sangat sering sekali tugas lapang batal lapor cara pihak dengan terang lapor batal langgan dan ujung tidak ada baik sehingga langgan harus ulang buat lapor 2 sampai 3 kali karena selalu batal tugas,LAYANAN
"Aplikasi PLN yang tidak ada manfaat untuk saya, sudah aju pasang baru lewat aplikasi harus tunggu verifikasi PLN unit, sudah 2 minggu tidak ada tindak lanjut, sudah buat lapor berkali-kali, mungkin harus guna calo",APLIKASI
Lambat,UMUM
"Aplikasi mobile PLN tgl 1 feb sore dalam pelihara saya terlunta-terlunta di rest area saat keluar kota karena aplikasi PLN dalam pelihara dan saya tidak bisa charge mobil,saat contac dengan cs live di tanggap dengan buat lapor helpdesk dan di suruh tunggu tanggap lapor 1 x 3 jam... yang benar saja 1 x 3 jam? 1 jam telah terus coba keluar masuk aplikasi baru bisa...",APLIKASI
"KWH meter rusak, sudah bulan lebih tidak ganti tidak ada berita sama sekali, sudah saya komplain ulang kali di PLN mobile ini juga tidak ada yang telpon saya tiba lapor saya selesai begitu saja.",LAYANAN
Gk guna lambat,LAYANAN
Jelek,UMUM
Aplikasi bobrok stuck di kode verifikasi ampas banget,APLIKASI
Kurang muas,UMUM
"Tiap bulan ke bulan pembayaran makin naik terus, kenap ya,padahal lampu alat dan alat listrik nya itu itu saja yang di guna",LAYANAN
Bagaimana ini aplikasi saldo saya yang harus masuk ke rekening malah ilang riwayat padahal itu sisa saldo ngecas mobil lwat aplikasi PLN bagaimana kalau sudah gini saya email pun gaada responnya... 60 rb itu lumayan buat saya ngecas mobil lagi kan. sakit orang indonesia suka tidak jujur tidak bertanggungjawab,APLIKASI
"Layan kurang baik, tiap bikin lapor pengaduan kurang transparan selalu di status batal oleh langgan namun belum ada tindak dari tugas",LAYANAN
Aplikasi gk jelas tiap scan ujung ujung anda di luar jangkau marah,APLIKASI
Mesti tidak perlu ada biaya admin,APLIKASI
Awal pengaduan saya sudah beri bintang 5 sejak hari pengaduan sampai sekarang belum juga laku kece pada meteran.saya sangat kecewa sudah mau satu minggu.akhirnya sya kasih bintang 1.,LAYANAN
"Saldo refund di tarik ke rekening,saldo sudah potong namun berhari-berhari belum masuk ke rekening,payah!",APLIKASI
"Layan PLN sangat minim tiap pagi pasti mati lampu khusus tiap hari senin pasti mati lampu PLN saya sudah konfirmasi dengan orang lapang tapi tidak langsung di gubris, saya mau absen online dari jam 06.30 sampai sekarang jam 07.54 masih tidak bisa di buka karega kendala signal jelek sebab lampu PLN mati. tidak perlu pihak plin klarifikasi sampai rumah saya mau minta bintang 5 di aplikasi PLN mobile, harus benah usaha kalian kenapa tiap pagi mati terus PLN",LAYANAN
Jd susah login,APLIKASI
"Login email tidak bisa langsung login nomor jadi di arah bukan ke login tapi create account, tolong fix kan bugnya",APLIKASI
"Segala hal dari PLN buruk, sudah tidak perlu saya jelas lagi",UMUM
"Adminnya lama banget, utama mba CC 54 sartika",LAYANAN
Tidak bisa daftar atau login,APLIKASI
"PLN sangat tidak rekomendasi, baru awal bulan listrik mati, nomor telepon pegawai nya tidak ada yang aktif, mati listrik tidak ada pemberitahuan dan mati jam jam, kalau sudah kayak gini siapa yang mau tanggung jawab!? bobrok banget",LAYANAN
Bajing,UMUM
Sangat buruk... layan tidak baik.buat pengaduan sampai 3-4 x tidak ada respon.malah di batal,LAYANAN
"Terus lapor ke PLN kait lama, telah 6 jam pengaduan nyata tidak ada lapor masuk. sebal",LAYANAN
"Sistem pengaduan sangat buruk,saya lapor 2 hari yang lalu sampai skrng belum ada",LAYANAN
Respon tugas buruk!,LAYANAN
Mengapa 2 bulan ini aplikasnya sulit di akses??,UMUM
"Aplikasi ini terlalu berat pas di buka, pakai yutube lancar saja buka PLN mobile tidak kuat/gak respon.",UMUM
Lama sekali tunggu pembayaran lewat aplikasi sampai saat sekarang ini,APLIKASI
"Listrik padam dari jam 18 sampai jam 22.52. sudah lapor 123 berkali-kali, suruh tunggu tanpa hasil. lapor di aplikasi di proses, sudah nyala. bohong!",LAYANAN
"Hari mati lampu tidak jelas! listrik bayar ini bukan gratis, rusak elektronik kalian buat lama",LAYANAN
Super slow respon,LAYANAN
"Makin lama, makin lama loadingnya.",UMUM
"Fitur live chat tidak guna, admin ai ngomong apa balas tidak hubung KWH error lapor dari jam 08.00 tidak ada tugas sama sekali datang sampai besok tidak niat kerja atau bagaimana",LAYANAN
"Kasi 1 dulu, dari kemarin sampai keluh pengaduan belum tangan",LAYANAN
Belum bisa bayar di app pake QRIS jadi masih ada biaya admin. bayar di va juga masih ada biaya admin,APLIKASI
"Rating 4,9 tapi layan dan fitur sering error tari uang pun error juga haduh, sudah ke ambil uang tapi tidak ada riwayat dan kirim pun belum juga",APLIKASI
Teralalu lambat tangan pengaduan periksa,LAYANAN
Kurang muas,UMUM
Sudah download masih saja sering mati lampu,LAYANAN
Cek madam sekitar tidak bisa,APLIKASI
"Tolong perbaiki kode perivikasi email lambat masuk, tidak bisa daftar",APLIKASI
Arus listrik sini tidak sampai 220 volt.madam terus lampu kandang sampai 22 jam padam,LAYANAN
"Sudah minggu minta pasang meter baru, tiap hari cuma balas 1 kalimat!",LAYANAN
Kami harap sbg masyarakat layan di benah khusus di desa desa,LAYANAN
"Aplikasi bagus banyak fiturnya, cuma masalah pengaduan sangat lambat sekali, pdam listrik smpai 3-4 jam belum juga nyala pdhal sudah pengaduan lewat aplikasi, kendala apa kita tidak diksih tau kalau dulu kita lapor di aplikasi tidak lama kita di whatsap dri pihak PLN untuk sekarang makin lambat tangan",LAYANAN
"Awal-awal download aplikasi ini sering bikin pengaduan madam listrik, dibalesnya cepat ama adminnya bahkan di telpon ampe 3 x tiap bikin pengaduan, e makin kesini makin tidak laden boro-boro di telpon direspon saja tidak tu pengaduan. sini sering banget mati lampu. heraan",LAYANAN
Kadang untuk hilang notifikasi periksa pada meter lama sekali untuk tunggu kode tampernya saya tunggu 5 jam untuk hal yang tidak pasti,LAYANAN
"Respon lambat, gilir gangguan lambat, gilir bayar gaboleh telat!",LAYANAN
Mati lampu jam 12 malam. saya ingin beli token di jam 00 18 wib namun dapat notifikasi transaksi layan PLN sedang tutup 23 40 - 00 15 wib anda dapat laku transaksi kembali telah waktu sebut mohon diperbaiki kerja itu kasihan yang mati lampu malam kerja nya tidak sesuai informasi penting yang laku terimakasih,APLIKASI
Pengaduan lama respon nya,LAYANAN
"Layan yang sangat buruk untuk sektor balikpapan utara kalimantan timur teknisi malas tidak mau kerja lapor jam 6 sore, datang besok subuh, sangat kecewa usaha listrik negara ini.",LAYANAN
"Tentang notifikasi kode lama dari malam tidak ada notifikasi padahal sudah benar nomernya tidak ada yang salah, lambat banget terus responnya lama tidak cepat",APLIKASI
Masih susah login belum bisa akses buat bayar tagihan listrik,APLIKASI
PLN blitar no respon,LAYANAN
"Pengaduan di PLN mobile otomatis selesai padahal belum ada tugas datang. kemarin saya sampai 3 x bikin pengaduan baru tugas datang 2 pengaduan belum nyata selesai padahal belum ada tugas yang datang. fitur chat dengan tugas juga tidak fungsi hari ini saya bikin pengaduan lagi karena nyata hasil kemarin listrik saya belum beres. telah mcb di KWH meter ganti kemarin, dari malam sampai pagi ini 4 x drop, mgkn mcb ganti juga lemah.",LAYANAN
Lama sekali sa tunggu nda datang,LAYANAN
"Saya kasih bintang 5 buat aplikasi karena cukup baik, tidak seperti layan PLN yang sangat buruk, terlalu sering mati listrik, entah hujan atau tidak. sangat kurang produktivitas karena saya harus henti kerja karena mati listrik. alhasil harus begadang untuk selesai",LAYANAN
Tangan lambat mulai tadi malam kilometer mati sampai sekarang belum ada tagan,LAYANAN
Respon lama,LAYANAN
"Pakai ktp subsidi tetap tidak bisa daftar KWH meter daya 450, padahal ktpnya belum pakai sama sekali",LAYANAN
"Saya beli token 200.0 sudah sesuai nominal dan nomor rekening nya. tapi tidak pembayaran tidak deteksi saya sudah chat bagi chat online nya, sudah sya kirim bukti transfer tapi ktnya tetap belum masuk masuk pmbayarannya. akhir kecewa.",APLIKASI
"Kerja yang tunjuk dalam menu pengaduan tidak mampu beri respon dari PLN ats keluh langgan siapa yang tangan masalah, apa solusi yang beri dan feedback langgan ats tangan pengaduan yang sampai",LAYANAN
"Pihak PLN tolong kalau ada baik atau putus arus listrik kasih tau lewat SMS atau apa yang penting ada pemberitahuan belum madam listrik khusus daerah yang dampak saja saya jengkel kerja di depan komputer tiba-tiba listrik mati beberapa detik lalu nyala lagi, terus mati lagi beberapa detik habis itu nyala lagi. kan kurang ajar bikin komponen komputer jadi cepat rusak. khusus kalau ada bencana tetap kasih tau telah biar masyarakat itu tidak sumpah serapah ke PLN",APLIKASI
Banyak trouble dan sring error. banyak kembali ke menu awal waktu masuk kode dan photo tamper di meter,APLIKASI
Di daerah kec camplong kab sampang kalau hujan mati hidup mati hidup bikin rusak k alat elektronik,LAYANAN
